date, pm25, pm10, no2
2023/11/5, 5, 2, 3
2023/11/6, 6, 6, 4
2023/11/7, 19, 2, 3
2023/11/8, 9, 5, 3
2023/11/9, 11, 8, 3
2023/11/10, 18, 1, 2
2023/11/11, 3, 1, 1
2023/11/12, 5, 2, 2
2023/11/13, 9, 4, 3
2023/11/14, 8, 5, 3
2023/11/15, 8, 2, 4
2023/11/16, 7, 3, 4
2023/11/17, 11, 3, 6
2023/11/18, 12, 3, 3
2023/11/19, 11, 4, 3
2023/11/20, 15, 3, 3
2023/11/21, 10, 6, 6
2023/11/22, 22, 2, 3
2023/11/23, 6, 2, 6
2023/11/24, 5, 3, 2
2023/11/25, 12, 2, 2
2023/11/26, 6, 1, 2
2023/11/27, 4, 5, 3
2023/11/28, 14, 3, 2
2023/11/29, 8, 3, 3
2023/11/30, 10, 5, 4
2023/12/1, 18, 3, 3
2023/12/2, 12, 3, 1
2023/12/3, 14, 3, 1
2023/12/4, 11, 2, 4
2023/12/5, 8, 3, 4
2023/12/6, 10, 6, 4
2023/12/7, 17, 5, 5
2023/12/8, 21, 6, 5
2023/12/9, 24, 6, 2
2023/12/10, 22, 9, 4
2023/12/11, 37, 8, 5
2023/12/12, 31, , 
2023/12/14, 18, 6, 5
2023/12/15, 20, 7, 5
2023/12/16, 27, 7, 5
2023/12/17, 25, 5, 3
2023/12/18, 14, 3, 6
2023/12/19, 9, 3, 1
2023/12/20, 7, 3, 5
2023/12/21, 9, 4, 5
2023/12/22, 14, 3, 2
2023/12/23, 9, 2, 1
2023/12/24, 5, 3, 2
2023/12/25, 12, 4, 1
2023/12/26, 18, 4, 3
2023/12/27, 19, 3, 1
2023/12/28, 11, 4, 5
2023/12/29, 15, 2, 4
2023/12/30, 6, 3, 1
2023/12/31, 13, 4, 1
2024/1/1, 16, 3, 2
2023/7/2, 29, 8, 
2023/7/3, 17, 13, 
2023/7/4, 18, 11, 
2023/7/5, 22, 16, 
2023/7/6, 22, 13, 
2023/7/7, 26, 17, 
2023/7/8, 36, 14, 
2023/7/9, 27, 18, 
2023/7/10, 30, 25, 
2023/7/11, 30, 24, 
2023/7/12, 34, 18, 
2023/7/13, 29, 14, 
2023/7/14, 22, 12, 
2023/7/15, 19, 8, 
2023/7/16, 10, 9, 
2023/7/17, 19, 10, 
2023/7/18, 17, 7, 
2023/7/19, 11, 7, 
2023/7/20, 10, 10, 
2023/7/21, 15, 11, 
2023/7/22, 13, 7, 
2023/7/23, 11, 8, 
2023/7/24, 14, 9, 
2023/7/25, 13, 12, 
2023/7/26, 19, 11, 
2023/7/27, 21, 13, 
2023/7/28, 24, 10, 
2023/7/29, 14, 7, 
2023/7/30, 18, 10, 
2023/7/31, 23, 16, 
2023/8/1, 25, 9, 
2023/8/2, 14, 6, 2
2023/8/3, 12, 13, 2
2023/8/4, 15, 6, 1
2023/8/5, 16, 5, 1
2023/8/6, 8, 9, 1
2023/8/7, 20, 14, 2
2023/8/8, 35, 21, 1
2023/8/9, 41, 9, 1
2023/8/10, 15, 4, 3
2023/8/11, 11, 7, 2
2023/8/12, 12, 10, 1
2023/8/13, 19, 7, 2
2023/8/14, 20, 9, 1
2023/8/15, 15, 18, 2
2023/8/16, 30, 11, 1
2023/8/17, 25, 7, 1
2023/8/18, 11, 13, 2
2023/8/19, 15, 8, 1
2023/8/20, 13, 9, 1
2023/8/21, 19, 16, 2
2023/8/22, 28, 11, 1
2023/8/23, 19, 12, 2
2023/8/24, 18, 12, 2
2023/8/25, 24, 13, 3
2023/8/26, 23, 8, 2
2023/8/27, 21, 9, 2
2023/8/28, 22, 9, 3
2023/8/29, 18, 13, 2
2023/8/30, 15, 23, 3
2023/8/31, 28, 12, 2
2023/9/1, 20, 11, 1
2023/9/2, 18, 7, 1
2023/9/3, 11, 6, 1
2023/9/4, 10, 14, 3
2023/9/5, 16, 7, 1
2023/9/6, 10, 11, 2
2023/9/7, 17, 13, 1
2023/9/8, 17, 16, 2
2023/9/9, 26, 20, 2
2023/9/10, 45, 16, 2
2023/9/11, 45, 23, 2
2023/9/12, 44, 11, 2
2023/9/13, 21, 8, 1
2023/9/14, 9, 9, 2
2023/9/15, 10, 15, 2
2023/9/16, 18, 6, 1
2023/9/17, 13, 4, 
2023/9/18, 7, 9, 1
2023/9/19, 13, 6, 2
2023/9/20, 16, 7, 1
2023/9/21, 8, 11, 2
2023/9/22, 23, 18, 3
2023/9/23, 41, 10, 1
2023/9/24, 23, 7, 1
2023/9/25, 13, 12, 3
2023/9/26, 21, 14, 3
2023/9/27, 21, 22, 3
2023/9/28, 33, 14, 2
2023/9/29, 17, 17, 4
2023/9/30, 38, 11, 1
2023/10/1, 32, 5, 1
2023/4/4, 32, 13, 
2023/4/5, 15, 22, 
2023/4/6, 25, 10, 
2023/4/7, 19, 7, 
2023/4/8, 16, 36, 
2023/4/9, 30, 49, 
2023/4/10, 31, 5, 
2023/4/11, 16, 97, 
2023/4/12, 62, 39, 
2023/4/13, 51, 41, 
2023/4/14, 43, 87, 
2023/4/15, 56, , 
2023/4/18, 36, 47, 
2023/4/19, 35, 57, 
2023/4/20, 43, 32, 
2023/4/21, 26, 39, 
2023/4/22, 31, 45, 
2023/4/23, 39, 14, 
2023/4/24, 17, 5, 
2023/4/25, 13, 4, 
2023/4/26, 14, 17, 
2023/4/27, 18, 16, 
2023/4/28, 15, 49, 
2023/4/29, 35, 42, 
2023/4/30, 33, 38, 
2023/5/1, 29, 55, 
2023/5/2, 38, 51, 
2023/5/3, 36, 40, 
2023/5/4, 29, 38, 
2023/5/5, 27, 49, 
2023/5/6, 41, 33, 
2023/5/7, 31, 26, 
2023/5/8, 26, 45, 
2023/5/9, 41, 56, 
2023/5/10, 49, 42, 
2023/5/11, 46, 52, 
2023/5/12, 56, 42, 
2023/5/13, 55, 25, 
2023/5/14, 46, 33, 
2023/5/15, 61, 36, 
2023/5/16, 63, 46, 
2023/5/17, 61, 10, 
2023/5/18, 12, 17, 
2023/5/19, 17, 40, 
2023/5/20, 38, 29, 
2023/5/21, 36, 29, 
2023/5/22, 45, 44, 
2023/5/23, 54, 43, 
2023/5/24, 53, 29, 
2023/5/25, 36, 25, 
2023/5/26, 24, 18, 
2023/5/27, 17, 20, 
2023/5/28, 22, 15, 
